YearEnd,LocationDesc,Question,Data_Value,Age_years,GeoLocation
2017,Alaska,Percent of adults aged 18 years and older who have an overweight classification,31.4,25 - 34,"(64.845079957001, -147.722059036)"
2017,Oklahoma,Percent of adults aged 18 years and older who have obesity,31.7,25 - 34,"(35.472031356, -97.521070214)"
2017,Hawaii,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),54.8,18 - 24,"(21.304850435, -157.857749403)"
2017,Florida,Percent of adults who report consuming fruit less than one time daily,35.0,25 - 34,"(28.932040377, -81.928960539)"
2017,Texas,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),45.2,18 - 24,"(31.827240407, -99.426770206)"
2017,Utah,Percent of adults who report consuming fruit less than one time daily,30.3,55 - 64,"(39.360700171, -111.587130635)"
2017,Indiana,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,18.9,25 - 34,"(39.766910452, -86.149960194)"
2017,Kansas,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),50.4,65 or older,"(38.3477403, -98.200781227)"
2017,Nevada,Percent of adults who report consuming vegetables less than one time daily,21.9,35 - 44,"(39.49324039, -117.071840564)"
2017,Louisiana,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),45.8,25 - 34,"(31.312660644, -92.445680071)"
2017,Massachusetts,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,17.0,65 or older,"(42.27687047, -72.082690675)"
2017,North Dakota,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),44.9,25 - 34,"(47.475319779, -100.118421049)"
2017,Alaska,Percent of adults who report consuming vegetables less than one time daily,36.0,18 - 24,"(64.845079957001, -147.722059036)"
2017,Idaho,Percent of adults who report consuming fruit less than one time daily,33.4,55 - 64,"(43.682630005, -114.363730042)"
2017,Indiana,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),21.9,35 - 44,"(39.766910452, -86.149960194)"
2017,Texas,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),39.5,45 - 54,"(31.827240407, -99.426770206)"
2017,New Jersey,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),32.4,18 - 24,"(40.130570048, -74.273691288)"
2017,Pennsylvania,Percent of adults aged 18 years and older who have obesity,34.6,45 - 54,"(40.793730152, -77.860700294)"
2017,Georgia,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),24.0,25 - 34,"(32.839681093, -83.627580346)"
2017,Indiana,Percent of adults who engage in no leisure-time physical activity,29.0,35 - 44,"(39.766910452, -86.149960194)"
2017,Nebraska,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),23.9,25 - 34,"(41.641040988001, -99.365720623)"
2017,Virginia,Percent of adults aged 18 years and older who have obesity,28.8,25 - 34,"(37.542680674, -78.457890463)"
2017,Iowa,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),24.9,25 - 34,"(42.469400913, -93.816490556)"
2017,Hawaii,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,31.4,55 - 64,"(21.304850435, -157.857749403)"
2017,Oklahoma,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,12.2,65 or older,"(35.472031356, -97.521070214)"
2017,Puerto Rico,Percent of adults who engage in no leisure-time physical activity,60.1,65 or older,"(18.220833, -66.590149)"
2017,Nebraska,Percent of adults who report consuming vegetables less than one time daily,17.5,45 - 54,"(41.641040988001, -99.365720623)"
2017,Wisconsin,Percent of adults who report consuming vegetables less than one time daily,23.3,25 - 34,"(44.393191174, -89.816370742)"
2017,Puerto Rico,Percent of adults aged 18 years and older who have obesity,31.7,25 - 34,"(18.220833, -66.590149)"
2017,Colorado,Percent of adults who report consuming fruit less than one time daily,33.8,55 - 64,"(38.843840757, -106.133610921)"
2017,Delaware,Percent of adults who engage in no leisure-time physical activity,29.3,18 - 24,"(39.008830667, -75.577741168)"
2017,Ohio,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,15.1,55 - 64,"(40.060210141, -82.404260056)"
2017,Texas,Percent of adults who engage in no leisure-time physical activity,25.4,18 - 24,"(31.827240407, -99.426770206)"
2017,Wyoming,Percent of adults aged 18 years and older who have obesity,28.6,65 or older,"(43.235541343, -108.109830353)"
2017,Missouri,Percent of adults who report consuming fruit less than one time daily,41.4,55 - 64,"(38.635790776, -92.566300053)"
2017,New Mexico,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,19.3,65 or older,"(34.520880952, -106.240580985)"
2017,Washington,Percent of adults who report consuming fruit less than one time daily,26.9,65 or older,"(47.522278629, -120.47001079)"
2017,Alaska,Percent of adults who report consuming fruit less than one time daily,37.9,45 - 54,"(64.845079957001, -147.722059036)"
2017,Oregon,Percent of adults who report consuming vegetables less than one time daily,14.3,45 - 54,"(44.567449424, -120.155031326)"
2017,Louisiana,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),24.2,45 - 54,"(31.312660644, -92.445680071)"
2017,Indiana,Percent of adults aged 18 years and older who have an overweight classification,23.8,18 - 24,"(39.766910452, -86.149960194)"
2017,Ohio,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,26.3,18 - 24,"(40.060210141, -82.404260056)"
2017,New Jersey,Percent of adults aged 18 years and older who have an overweight classification,42.1,65 or older,"(40.130570048, -74.273691288)"
2017,Rhode Island,Percent of adults who report consuming vegetables less than one time daily,21.4,18 - 24,"(41.708280193, -71.522470314)"
2017,Oregon,Percent of adults who report consuming vegetables less than one time daily,18.3,25 - 34,"(44.567449424, -120.155031326)"
2015,Puerto Rico,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),17.5,65 or older,"(18.220833, -66.590149)"
2017,Montana,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,27.9,25 - 34,"(47.066528972, -109.424420645)"
2017,Florida,Percent of adults who report consuming vegetables less than one time daily,19.0,25 - 34,"(28.932040377, -81.928960539)"
2017,Indiana,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),26.6,45 - 54,"(39.766910452, -86.149960194)"
2017,Georgia,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),47.3,25 - 34,"(32.839681093, -83.627580346)"
2017,Arizona,Percent of adults aged 18 years and older who have an overweight classification,39.5,65 or older,"(34.86597028, -111.763811277)"
2017,Oklahoma,Percent of adults who engage in no leisure-time physical activity,25.2,25 - 34,"(35.472031356, -97.521070214)"
2017,Missouri,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,15.0,55 - 64,"(38.635790776, -92.566300053)"
2017,Delaware,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),27.1,18 - 24,"(39.008830667, -75.577741168)"
2017,Minnesota,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),29.4,18 - 24,"(46.355648736, -94.794200503)"
2017,Iowa,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),47.3,55 - 64,"(42.469400913, -93.816490556)"
2017,Montana,Percent of adults aged 18 years and older who have an overweight classification,40.2,55 - 64,"(47.066528972, -109.424420645)"
2017,Hawaii,Percent of adults who report consuming fruit less than one time daily,43.2,18 - 24,"(21.304850435, -157.857749403)"
2017,Washington,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),34.3,45 - 54,"(47.522278629, -120.47001079)"
2017,District of Columbia,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),32.2,55 - 64,"(38.890371385, -77.031961127)"
2017,South Carolina,Percent of adults who report consuming fruit less than one time daily,44.8,45 - 54,"(33.998821303, -81.045371207)"
2017,New Hampshire,Percent of adults who report consuming fruit less than one time daily,33.0,45 - 54,"(43.655950113, -71.50036092)"
2017,Texas,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),30.5,65 or older,"(31.827240407, -99.426770206)"
2017,Kentucky,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,33.5,25 - 34,"(37.645970271, -84.774971048)"
2017,Maryland,Percent of adults aged 18 years and older who have obesity,26.3,25 - 34,"(39.290580964, -76.609260111)"
2017,Virginia,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,28.4,18 - 24,"(37.542680674, -78.457890463)"
2017,Louisiana,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,19.4,65 or older,"(31.312660644, -92.445680071)"
2017,Illinois,Percent of adults aged 18 years and older who have an overweight classification,39.8,65 or older,"(40.485010283, -88.997710178)"
2017,Oregon,Percent of adults who engage in no leisure-time physical activity,18.4,25 - 34,"(44.567449424, -120.155031326)"
2017,New Mexico,Percent of adults who report consuming fruit less than one time daily,32.6,65 or older,"(34.520880952, -106.240580985)"
2017,New Mexico,Percent of adults who report consuming vegetables less than one time daily,18.8,18 - 24,"(34.520880952, -106.240580985)"
2017,North Dakota,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,25.4,18 - 24,"(47.475319779, -100.118421049)"
2017,Oregon,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),39.8,18 - 24,"(44.567449424, -120.155031326)"
2017,Utah,Percent of adults aged 18 years and older who have obesity,21.6,25 - 34,"(39.360700171, -111.587130635)"
2017,Maine,Percent of adults who report consuming fruit less than one time daily,30.6,18 - 24,"(45.254228894001, -68.985031336)"
2017,Indiana,Percent of adults aged 18 years and older who have obesity,33.3,65 or older,"(39.766910452, -86.149960194)"
2017,Oregon,Percent of adults who report consuming vegetables less than one time daily,14.2,55 - 64,"(44.567449424, -120.155031326)"
2017,Louisiana,Percent of adults who report consuming vegetables less than one time daily,21.0,65 or older,"(31.312660644, -92.445680071)"
2017,Guam,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,17.1,65 or older,"(13.444304, 144.793731)"
2017,Oklahoma,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),37.6,45 - 54,"(35.472031356, -97.521070214)"
2017,Idaho,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),36.2,45 - 54,"(43.682630005, -114.363730042)"
2017,Connecticut,Percent of adults who report consuming fruit less than one time daily,30.7,35 - 44,"(41.56266102, -72.649840952)"
2017,Kentucky,Percent of adults aged 18 years and older who have obesity,35.6,55 - 64,"(37.645970271, -84.774971048)"
2017,Arkansas,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,42.0,18 - 24,"(34.748650124, -92.274490743)"
2017,Hawaii,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,30.2,45 - 54,"(21.304850435, -157.857749403)"
2017,Nevada,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),28.2,18 - 24,"(39.49324039, -117.071840564)"
2017,Texas,Percent of adults who report consuming fruit less than one time daily,33.4,35 - 44,"(31.827240407, -99.426770206)"
2017,New York,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,44.5,18 - 24,"(42.827001032, -75.543970427)"
2017,Maine,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,24.9,65 or older,"(45.254228894001, -68.985031336)"
2017,Washington,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),64.2,65 or older,"(47.522278629, -120.47001079)"
2017,Texas,Percent of adults who engage in no leisure-time physical activity,32.7,45 - 54,"(31.827240407, -99.426770206)"
2017,Puerto Rico,Percent of adults who engage in no leisure-time physical activity,38.8,18 - 24,"(18.220833, -66.590149)"
2017,Missouri,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),25.5,25 - 34,"(38.635790776, -92.566300053)"
2017,Minnesota,Percent of adults aged 18 years and older who have obesity,33.0,55 - 64,"(46.355648736, -94.794200503)"
2017,Illinois,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),51.0,55 - 64,"(40.485010283, -88.997710178)"
2017,Tennessee,Percent of adults who engage in no leisure-time physical activity,24.2,25 - 34,"(35.68094058, -85.774490914)"
2017,Alaska,Percent of adults aged 18 years and older who have an overweight classification,29.8,18 - 24,"(64.845079957001, -147.722059036)"
2017,Rhode Island,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,18.3,55 - 64,"(41.708280193, -71.522470314)"
2017,Georgia,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,22.7,55 - 64,"(32.839681093, -83.627580346)"
2017,Tennessee,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),46.8,25 - 34,"(35.68094058, -85.774490914)"
2017,Hawaii,Percent of adults aged 18 years and older who have obesity,15.9,18 - 24,"(21.304850435, -157.857749403)"
2017,Michigan,Percent of adults who report consuming vegetables less than one time daily,28.2,18 - 24,"(44.661319543001, -84.71439027)"
2017,Nevada,Percent of adults who report consuming fruit less than one time daily,35.5,65 or older,"(39.49324039, -117.071840564)"
2017,Alabama,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,16.0,45 - 54,"(32.840571122, -86.631860762)"
2017,Florida,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),44.5,45 - 54,"(28.932040377, -81.928960539)"
2017,Connecticut,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,25.7,65 or older,"(41.56266102, -72.649840952)"
2017,Delaware,Percent of adults aged 18 years and older who have an overweight classification,40.8,45 - 54,"(39.008830667, -75.577741168)"
2017,Nevada,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),49.1,65 or older,"(39.49324039, -117.071840564)"
2017,Oregon,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),51.5,35 - 44,"(44.567449424, -120.155031326)"
2017,Arkansas,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,14.1,55 - 64,"(34.748650124, -92.274490743)"
2017,Indiana,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),45.5,25 - 34,"(39.766910452, -86.149960194)"
2017,District of Columbia,Percent of adults who report consuming vegetables less than one time daily,9.6,35 - 44,"(38.890371385, -77.031961127)"
2017,District of Columbia,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,34.4,25 - 34,"(38.890371385, -77.031961127)"
2017,Hawaii,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,27.7,25 - 34,"(21.304850435, -157.857749403)"
2017,Washington,Percent of adults who engage in no leisure-time physical activity,23.2,65 or older,"(47.522278629, -120.47001079)"
2017,Massachusetts,Percent of adults who report consuming fruit less than one time daily,30.7,35 - 44,"(42.27687047, -72.082690675)"
2017,District of Columbia,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),32.2,45 - 54,"(38.890371385, -77.031961127)"
2017,Georgia,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),43.1,55 - 64,"(32.839681093, -83.627580346)"
2017,Florida,Percent of adults who report consuming fruit less than one time daily,37.7,45 - 54,"(28.932040377, -81.928960539)"
2017,Louisiana,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,22.1,55 - 64,"(31.312660644, -92.445680071)"
2017,Montana,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),53.1,55 - 64,"(47.066528972, -109.424420645)"
2017,Guam,Percent of adults who engage in no leisure-time physical activity,33.4,35 - 44,"(13.444304, 144.793731)"
2017,Arkansas,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),23.6,45 - 54,"(34.748650124, -92.274490743)"
2017,North Dakota,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,47.9,18 - 24,"(47.475319779, -100.118421049)"
2017,Illinois,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),49.6,35 - 44,"(40.485010283, -88.997710178)"
2017,Michigan,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),30.7,55 - 64,"(44.661319543001, -84.71439027)"
2017,West Virginia,Percent of adults who report consuming vegetables less than one time daily,12.0,35 - 44,"(38.665510202, -80.712640135)"
2017,Georgia,Percent of adults aged 18 years and older who have obesity,16.9,18 - 24,"(32.839681093, -83.627580346)"
2017,Minnesota,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,25.5,65 or older,"(46.355648736, -94.794200503)"
2017,New York,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),29.7,55 - 64,"(42.827001032, -75.543970427)"
2017,Massachusetts,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),49.2,25 - 34,"(42.27687047, -72.082690675)"
2017,Georgia,Percent of adults who engage in no leisure-time physical activity,36.6,55 - 64,"(32.839681093, -83.627580346)"
2017,New York,Percent of adults aged 18 years and older who have obesity,28.9,45 - 54,"(42.827001032, -75.543970427)"
2017,North Dakota,Percent of adults who engage in no leisure-time physical activity,22.4,25 - 34,"(47.475319779, -100.118421049)"
2017,West Virginia,Percent of adults who report consuming fruit less than one time daily,44.6,25 - 34,"(38.665510202, -80.712640135)"
2017,Puerto Rico,Percent of adults who report consuming fruit less than one time daily,54.6,65 or older,"(18.220833, -66.590149)"
2017,Georgia,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,16.0,55 - 64,"(32.839681093, -83.627580346)"
2017,Michigan,Percent of adults aged 18 years and older who have an overweight classification,33.4,25 - 34,"(44.661319543001, -84.71439027)"
2017,Iowa,Percent of adults aged 18 years and older who have an overweight classification,39.1,65 or older,"(42.469400913, -93.816490556)"
2017,Montana,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),56.6,25 - 34,"(47.066528972, -109.424420645)"
2017,Oregon,Percent of adults who report consuming fruit less than one time daily,27.6,65 or older,"(44.567449424, -120.155031326)"
2017,Michigan,Percent of adults aged 18 years and older who have an overweight classification,25.1,18 - 24,"(44.661319543001, -84.71439027)"
2017,Texas,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),43.0,55 - 64,"(31.827240407, -99.426770206)"
2017,Rhode Island,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),44.2,25 - 34,"(41.708280193, -71.522470314)"
2017,South Dakota,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),26.5,35 - 44,"(44.353130053, -100.373530637)"
2017,South Dakota,Percent of adults who report consuming fruit less than one time daily,42.4,18 - 24,"(44.353130053, -100.373530637)"
2017,Colorado,Percent of adults aged 18 years and older who have obesity,27.7,45 - 54,"(38.843840757, -106.133610921)"
2017,Illinois,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),24.1,25 - 34,"(40.485010283, -88.997710178)"
2017,Indiana,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),29.5,18 - 24,"(39.766910452, -86.149960194)"
2017,Washington,Percent of adults who engage in no leisure-time physical activity,20.2,45 - 54,"(47.522278629, -120.47001079)"
2017,Wyoming,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),54.2,55 - 64,"(43.235541343, -108.109830353)"
2017,Alabama,Percent of adults aged 18 years and older who have an overweight classification,29.5,25 - 34,"(32.840571122, -86.631860762)"
2017,Alabama,Percent of adults who report consuming fruit less than one time daily,47.7,55 - 64,"(32.840571122, -86.631860762)"
2017,Virginia,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,25.5,55 - 64,"(37.542680674, -78.457890463)"
2017,West Virginia,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),34.0,65 or older,"(38.665510202, -80.712640135)"
2017,Delaware,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),27.0,55 - 64,"(39.008830667, -75.577741168)"
2017,Alabama,Percent of adults who engage in no leisure-time physical activity,34.1,45 - 54,"(32.840571122, -86.631860762)"
2017,Alabama,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,10.3,55 - 64,"(32.840571122, -86.631860762)"
2012,New York,Percent of adults who engage in no leisure-time physical activity,20.3,25 - 34,"(42.827001032, -75.543970427)"
2017,West Virginia,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),41.7,45 - 54,"(38.665510202, -80.712640135)"
2017,West Virginia,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,14.9,55 - 64,"(38.665510202, -80.712640135)"
2017,California,Percent of adults who engage in no leisure-time physical activity,20.7,45 - 54,"(37.638640123, -120.999999538)"
2017,Delaware,Percent of adults who report consuming fruit less than one time daily,31.8,35 - 44,"(39.008830667, -75.577741168)"
2017,Kansas,Percent of adults who engage in no leisure-time physical activity,24.3,25 - 34,"(38.3477403, -98.200781227)"
2017,Arizona,Percent of adults who report consuming fruit less than one time daily,39.0,45 - 54,"(34.86597028, -111.763811277)"
2017,California,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,30.0,45 - 54,"(37.638640123, -120.999999538)"
2017,New Mexico,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,25.1,25 - 34,"(34.520880952, -106.240580985)"
2017,Mississippi,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,10.9,65 or older,"(32.745510099, -89.538030825)"
2017,Rhode Island,Percent of adults aged 18 years and older who have obesity,15.8,18 - 24,"(41.708280193, -71.522470314)"
2015,Guam,Percent of adults who engage in no leisure-time physical activity,33.6,45 - 54,"(13.444304, 144.793731)"
2017,Alabama,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),24.1,55 - 64,"(32.840571122, -86.631860762)"
2017,Illinois,Percent of adults who report consuming fruit less than one time daily,36.2,35 - 44,"(40.485010283, -88.997710178)"
2017,Alabama,Percent of adults aged 18 years and older who have an overweight classification,40.3,65 or older,"(32.840571122, -86.631860762)"
2017,Iowa,Percent of adults who report consuming fruit less than one time daily,34.6,25 - 34,"(42.469400913, -93.816490556)"
2017,Pennsylvania,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,48.8,18 - 24,"(40.793730152, -77.860700294)"
2017,Montana,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),48.0,45 - 54,"(47.066528972, -109.424420645)"
2017,Kentucky,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,31.9,18 - 24,"(37.645970271, -84.774971048)"
